name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Asuka 881923,4632,Valid,LL3,100.05,Found,1988,-72.000000,26.000000,"(-72.0, 26.0)"
Meteorite Hills 00581,15815,Valid,LL6,100.21,Found,2000,-79.683330,155.750000,"(-79.68333, 155.75)"
Yamato 791195,26544,Valid,Eucrite-cm,100.29,Found,1979,-71.500000,35.666670,"(-71.5, 35.66667)"
Camel Donga 007,5210,Valid,L5,100.3,Found,1986,-30.316670,126.616670,"(-30.31667, 126.61667)"
New Moore (a),16958,Valid,OC,100.3,Found,1972,33.116670,-102.116670,"(33.11667, -102.11667)"
Yamato 791979,27328,Valid,H4,100.33,Found,1979,-71.500000,35.666670,"(-71.5, 35.66667)"
Queen Alexandra Range 97288,20746,Valid,L6,100.4,Found,1997,-84.000000,168.000000,"(-84.0, 168.0)"
Yamato 791982,27331,Valid,H4,100.42,Found,1979,-71.500000,35.666670,"(-71.5, 35.66667)"
Ramlat as Sahmah 209,35643,Valid,H5,100.47,Found,2003,20.584080,55.852870,"(20.58408, 55.85287)"
Meteorite Hills A78014,16610,Valid,H6,100.5,Found,1978,-79.683330,155.750000,"(-79.68333, 155.75)"
Sayh al Uhaymir 465,51664,Valid,H~6,100.5,Found,2008,20.013600,56.557870,"(20.0136, 56.55787)"
Asuka 880987,3696,Valid,H5,100.52,Found,1988,-72.000000,26.000000,"(-72.0, 26.0)"
Asuka 881780,4489,Valid,H4,100.53,Found,1988,-72.000000,26.000000,"(-72.0, 26.0)"
Asuka 880070,2779,Valid,H5,100.55,Found,1988,-72.000000,26.000000,"(-72.0, 26.0)"
Elephant Moraine 96293,9884,Valid,Ureilite,100.6,Found,1996,-76.183330,157.166670,"(-76.18333, 157.16667)"
Reid 026,22581,Valid,LL6,100.6,Found,1991,-30.248330,128.635280,"(-30.24833, 128.63528)"
Yamato 790271,25620,Valid,H4,100.6,Found,1979,-71.500000,35.666670,"(-71.5, 35.66667)"
Jiddat al Harasis 452,48603,Valid,L4,100.614,Found,2007,19.749970,56.309580,"(19.74997, 56.30958)"
Ramlat as Sahmah 333,55641,Valid,H3.6,100.68,Found,2010,20.802250,55.443930,"(20.80225, 55.44393)"
Mjelleim,16707,Valid,H,100.7,Fell,1898,61.733330,5.933330,"(61.73333, 5.93333)"
Geologists Range 99104,10878,Valid,L6,100.7,Found,1999,-82.500000,155.500000,"(-82.5, 155.5)"
Meteorite Hills 00626,15860,Valid,H6,100.78,Found,2000,-79.683330,155.750000,"(-79.68333, 155.75)"
Allan Hills 84159,761,Valid,H6,100.8,Found,1984,-76.723510,158.703450,"(-76.72351, 158.70345)"
Elephant Moraine 96251,9842,Valid,H6,100.8,Found,1996,-76.183330,157.166670,"(-76.18333, 157.16667)"
Graves Nunataks 95219,10979,Valid,H5,100.8,Found,1995,-86.716670,-141.500000,"(-86.71667, -141.5)"
Lewis Cliff 88169,13922,Valid,L6,100.8,Found,1988,-84.249330,161.493680,"(-84.24933, 161.49368)"
Queen Alexandra Range 97804,21259,Valid,H6,100.8,Found,1997,-84.000000,168.000000,"(-84.0, 168.0)"
Asuka 882065,4774,Valid,H6,100.85,Found,1988,-72.000000,26.000000,"(-72.0, 26.0)"
Shişr 160,48649,Valid,Lunar,100.86,Found,2008,18.336330,53.333500,"(18.33633, 53.3335)"
Meteorite Hills 00490,15725,Valid,LL5,100.92,Found,2000,-79.683330,155.750000,"(-79.68333, 155.75)"
Ramlat as Sahmah 402,55497,Valid,H4,100.94,Found,2010,20.145050,55.767950,"(20.14505, 55.76795)"
Grove Mountains 022219,46598,Valid,L5,100.95,Found,2003,-72.778330,75.320830,"(-72.77833, 75.32083)"
Acfer 382,35483,Valid,H5,101,Found,2002,27.633330,3.933330,"(27.63333, 3.93333)"
Acfer 400,55264,Valid,CR2,101,Found,2001,27.500830,3.866170,"(27.50083, 3.86617)"
Bronco (b),5148,Valid,OC,101,Found,1980,33.275000,-102.960000,"(33.275, -102.96)"
Dar al Gani 529,6077,Valid,L6,101,Found,1997,27.018670,16.320330,"(27.01867, 16.32033)"
Dhofar 480,7241,Valid,Eucrite,101,Found,2001,19.138280,54.898890,"(19.13828, 54.89889)"
Dhofar 693,7450,Valid,H5,101,Found,2001,19.421200,54.795200,"(19.4212, 54.7952)"
Eldee 002,47704,Valid,L6-melt breccia,101,Found,2006,-31.664170,141.233750,"(-31.66417, 141.23375)"
Pecora Escarpment 91389,18680,Valid,LL6,101,Found,1991,-85.633330,-68.700000,"(-85.63333, -68.7)"
Shohaku,23580,Valid,Iron,101,Found,1938,40.316670,126.916670,"(40.31667, 126.91667)"
Dar al Gani 1021,5638,Valid,H5,101.1,Found,2000,27.010830,16.181670,"(27.01083, 16.18167)"
Ramlat as Sahmah 265,48633,Valid,L3,101.15,Found,2002,20.029680,56.433200,"(20.02968, 56.4332)"
Sayh al Uhaymir 139,23331,Valid,H4/5,101.18,Found,2001,21.186970,57.208670,"(21.18697, 57.20867)"
Queen Alexandra Range 99314,21764,Valid,L5,101.2,Found,1999,-84.000000,168.000000,"(-84.0, 168.0)"
Asuka 882085,4794,Valid,L6,101.24,Found,1988,-72.000000,26.000000,"(-72.0, 26.0)"
Elephant Moraine 96186,9778,Valid,H6,101.3,Found,1996,-76.183330,157.166670,"(-76.18333, 157.16667)"
Grove Mountains 022025,46815,Valid,L6,101.39,Found,2003,-72.783610,75.296390,"(-72.78361, 75.29639)"
Allan Hills 84164,766,Valid,L6,101.4,Found,1984,-76.820650,158.258080,"(-76.82065, 158.25808)"
Elephant Moraine 90157,8566,Valid,L6,101.4,Found,1990,-76.277380,156.512480,"(-76.27738, 156.51248)"
Queen Alexandra Range 97015,20422,Valid,LL5,101.4,Found,1997,-84.000000,168.000000,"(-84.0, 168.0)"
Yamato 793470,28819,Valid,L6,101.41,Found,1979,-71.500000,35.666670,"(-71.5, 35.66667)"
Asuka 87311,2668,Valid,H4,101.42,Found,1987,-72.000000,26.000000,"(-72.0, 26.0)"
Meteorite Hills 00501,15736,Valid,LL6,101.46,Found,2000,-79.683330,155.750000,"(-79.68333, 155.75)"
Meteorite Hills 00549,15784,Valid,L5,101.48,Found,2000,-79.683330,155.750000,"(-79.68333, 155.75)"
Lewis Cliff 87174,13640,Valid,L6,101.5,Found,1987,-84.352310,161.201660,"(-84.35231, 161.20166)"
Thylacine Hole 001,23981,Valid,H4/5,101.5,Found,1977,-31.583330,127.600000,"(-31.58333, 127.6)"
MacAlpine Hills 88135,15299,Valid,H5,101.6,Found,1988,-84.216670,160.500000,"(-84.21667, 160.5)"
Queen Alexandra Range 97431,20887,Valid,LL5,101.6,Found,1997,-84.000000,168.000000,"(-84.0, 168.0)"
Yamato 791558,26907,Valid,LL3.15,101.64,Found,1979,-71.500000,35.666670,"(-71.5, 35.66667)"
Elephant Moraine 90266,8675,Valid,L6,101.7,Found,1990,-76.279180,156.477550,"(-76.27918, 156.47755)"
Queen Alexandra Range 99312,21762,Valid,L5,101.7,Found,1999,-84.000000,168.000000,"(-84.0, 168.0)"
Lewis Cliff 86312,13244,Valid,H5,101.8,Found,1986,-84.294390,161.311330,"(-84.29439, 161.31133)"
Queen Alexandra Range 97490,20946,Valid,LL5,101.8,Found,1997,-84.000000,168.000000,"(-84.0, 168.0)"
Queen Alexandra Range 97491,20947,Valid,LL5,101.8,Found,1997,-84.000000,168.000000,"(-84.0, 168.0)"
Queen Alexandra Range 99037,21489,Valid,L5,101.9,Found,1999,-84.000000,168.000000,"(-84.0, 168.0)"
Shalim 012,51965,Valid,H4,101.9,Found,2009,18.942550,55.631430,"(18.94255, 55.63143)"
Umm as Samim 021,55421,Valid,H5,101.98,Found,2010,21.235130,55.534830,"(21.23513, 55.53483)"
Garland,10861,Valid,Diogenite-pm,102,Fell,1950,41.683330,-112.133330,"(41.68333, -112.13333)"
Dar al Gani 814,6361,Valid,L4,102,Found,2000,26.990000,16.397830,"(26.99, 16.39783)"
Dar al Gani 885,6432,Valid,H6,102,Found,2000,26.100000,16.066670,"(26.1, 16.06667)"
Dhofar 047,6746,Valid,L5/6,102,Found,1999,19.221830,54.692670,"(19.22183, 54.69267)"
Dhofar 539,7300,Valid,H5,102,Found,2001,18.188330,54.166670,"(18.18833, 54.16667)"
Dhofar 777,7523,Valid,LL6,102,Found,2000,18.841220,54.756400,"(18.84122, 54.7564)"
Dhofar 863,7609,Valid,L5,102,Found,2002,19.383330,54.593330,"(19.38333, 54.59333)"
El Médano 020,54483,Valid,L6,102,Found,2010,-24.850000,-70.533330,"(-24.85, -70.53333)"
Northwest Africa 542,17789,Valid,LL6,102,Found,2000,31.100000,-5.183330,"(31.1, -5.18333)"
Nullagine,17940,Valid,H5,102,Found,1973,-21.866670,120.116670,"(-21.86667, 120.11667)"
Queen Alexandra Range 93525,19613,Valid,L5,102,Found,1993,-84.000000,168.000000,"(-84.0, 168.0)"
Tanezrouft 009,23810,Valid,H4/5,102,Found,1989,25.333330,0.466670,"(25.33333, 0.46667)"
Grove Mountains 021791,46801,Valid,L5,102.02,Found,2003,-72.773610,75.322220,"(-72.77361, 75.32222)"
Asuka 881372,4081,Valid,L6,102.09,Found,1988,-72.000000,26.000000,"(-72.0, 26.0)"
Asuka 881695,4404,Valid,L3,102.13,Found,1988,-72.000000,26.000000,"(-72.0, 26.0)"
Ramlat as Sahmah 260,35689,Valid,H~6,102.4,Found,2004,20.001800,56.492200,"(20.0018, 56.4922)"
Allan Hills 88012,1056,Valid,L6,102.5,Found,1988,-76.722430,158.718200,"(-76.72243, 158.7182)"
Pecora Escarpment 91183,18474,Valid,H5,102.5,Found,1991,-85.687820,-67.728540,"(-85.68782, -67.72854)"
Yamato 74081,24459,Valid,H4,102.5,Found,1974,-71.805280,36.175000,"(-71.80528, 36.175)"
Yamato 790538,25887,Valid,LL,102.58,Found,1979,-71.500000,35.666670,"(-71.5, 35.66667)"
Allan Hills A78119,1734,Valid,LL3.5,102.6,Found,1978,-76.716670,159.666670,"(-76.71667, 159.66667)"
Elephant Moraine 87587,8137,Valid,L6,102.6,Found,1987,-76.275980,156.502510,"(-76.27598, 156.50251)"
Lewis Cliff 85340,12810,Valid,L5,102.7,Found,1985,-84.285050,161.369840,"(-84.28505, 161.36984)"
Asuka 881237,3946,Valid,H6,102.79,Found,1988,-72.000000,26.000000,"(-72.0, 26.0)"
Lewis Cliff 86225,13161,Valid,H5,102.8,Found,1986,-84.273970,161.687170,"(-84.27397, 161.68717)"
Meteorite Hills 00605,15839,Valid,L5,102.88,Found,2000,-79.683330,155.750000,"(-79.68333, 155.75)"
Elephant Moraine 90442,8851,Valid,L6,102.9,Found,1990,-76.271850,156.441370,"(-76.27185, 156.44137)"
Graves Nunataks 98043,11035,Valid,Eucrite-br,102.9,Found,1998,-86.716670,-141.500000,"(-86.71667, -141.5)"
MacAlpine Hills 02632,14930,Valid,H6,102.9,Found,2002,-84.216670,160.500000,"(-84.21667, 160.5)"
Grove Mountains 022023,46813,Valid,L5,102.91,Found,2003,-72.783060,75.302780,"(-72.78306, 75.30278)"
Acfer 180,188,Valid,H3.9-5,103,Found,1990,27.600000,4.166670,"(27.6, 4.16667)"
Allan Hills 88011,1055,Valid,H3,103,Found,1988,-76.723950,158.742080,"(-76.72395, 158.74208)"
Dar al Gani 343,5891,Valid,H4,103,Found,1997,27.154670,16.079000,"(27.15467, 16.079)"
Dar al Gani 415,5963,Valid,H5/6,103,Found,1998,27.378500,16.185500,"(27.3785, 16.1855)"
Dar al Gani 508,6056,Valid,H4,103,Found,1997,27.266830,16.066830,"(27.26683, 16.06683)"
Dar al Gani 531,6079,Valid,L6,103,Found,1997,27.188670,16.333830,"(27.18867, 16.33383)"
Dar al Gani 598,6145,Valid,H5,103,Found,1998,26.928170,16.476000,"(26.92817, 16.476)"
Dhofar 638,7395,Valid,L6,103,Found,2001,19.202770,54.655620,"(19.20277, 54.65562)"
Ramlat as Sahmah 303,51904,Valid,H4,103,Found,2009,20.447220,56.120880,"(20.44722, 56.12088)"
Yamato 75139,25180,Valid,L6,103,Found,1975,-71.500000,35.666670,"(-71.5, 35.66667)"
Jiddat al Harasis 318,45844,Valid,H~5,103.1,Found,2001,19.418650,55.574520,"(19.41865, 55.57452)"
Lahmada 005,12418,Valid,L4/5,103.1,Found,1999,27.166670,-9.500000,"(27.16667, -9.5)"
Meteorite Hills 01253,16485,Valid,H6,103.1,Found,2001,-79.683330,159.750000,"(-79.68333, 159.75)"
Queen Alexandra Range 90246,19051,Valid,L5,103.1,Found,1990,-84.598050,162.213360,"(-84.59805, 162.21336)"
Watson 012,52944,Valid,H7,103.1,Found,2009,-30.566670,131.500000,"(-30.56667, 131.5)"
Grove Mountains 022123,46842,Valid,L5,103.12,Found,2003,-72.778890,75.313610,"(-72.77889, 75.31361)"
Meteorite Hills 00540,15775,Valid,LL6,103.18,Found,2000,-79.683330,155.750000,"(-79.68333, 155.75)"
Asuka 881629,4338,Valid,L6,103.21,Found,1988,-72.000000,26.000000,"(-72.0, 26.0)"
Sayh al Uhaymir 153,23345,Valid,L4/5,103.28,Found,2002,21.038000,57.292830,"(21.038, 57.29283)"
Jiddat al Harasis 591,51940,Valid,H5,103.3,Found,2009,19.422100,56.700300,"(19.4221, 56.7003)"
Riverton,22613,Valid,H5,103.3,Found,1960,50.940000,-96.991670,"(50.94, -96.99167)"
Grove Mountains 051629,46448,Valid,L6,103.37,Found,2006,-72.780830,75.320830,"(-72.78083, 75.32083)"
Allan Hills 99101,1300,Valid,LL3,103.4,Found,2000,-76.760980,159.452520,"(-76.76098, 159.45252)"
Biduna Blowhole 001,52648,Valid,L4,103.4,Found,2009,-31.016670,131.316670,"(-31.01667, 131.31667)"
Elephant Moraine 90071,8481,Valid,L6,103.4,Found,1990,-76.290260,156.452070,"(-76.29026, 156.45207)"
Elephant Moraine 90496,8905,Valid,L6,103.4,Found,1990,-76.268330,156.492330,"(-76.26833, 156.49233)"
Graves Nunataks 98054,11046,Valid,Eucrite-br,103.4,Found,1998,-86.716670,-141.500000,"(-86.71667, -141.5)"
